Municipality,District
Albergaria-a-Velha,Aveiro
Oliveira do Bairro,Aveiro
Vale de Cambra,Aveiro
Águeda,Aveiro
Anadia,Aveiro
Arouca,Aveiro
Castelo de Paiva,Aveiro
Mealhada,Aveiro
Oliveira de Azeméis,Aveiro
São João da Madeira,Aveiro
Sever do Vouga,Aveiro
Espinho,Aveiro
Ílhavo,Aveiro
Murtosa,Aveiro
Ovar,Aveiro
Santa Maria da Feira,Aveiro
Vagos,Aveiro
Aveiro,Aveiro
Estarreja,Aveiro
Velas,Azores
Calheta,Azores
Angra do Heroísmo,Azores
Corvo,Azores
Lagoa,Azores
Lajes das Flores,Azores
Lajes do Pico,Azores
Praia da Vitória,Azores
Santa Cruz da Graciosa,Azores
Santa Cruz das Flores,Azores
São Roque do Pico,Azores
Madalena,Azores
Nordeste,Azores
Ponta Delgada,Azores
Povoação,Azores
Ribeira Grande,Azores
Vila do Porto,Azores
Vila Franca do Campo,Azores
Alvito,Beja
Cuba,Beja
Serpa,Beja
Vidigueira,Beja
Aljustrel,Beja
Almodôvar,Beja
Barrancos,Beja
Beja,Beja
Castro Verde,Beja
Ferreira do Alentejo,Beja
Mértola,Beja
Moura,Beja
Odemira,Beja
Ourique,Beja
Vizela,Braga
Barcelos,Braga
Cabeceiras de Basto,Braga
Fafe,Braga
Guimarães,Braga
Celorico de Basto,Braga
Esposende,Braga
Póvoa de Lanhoso,Braga
Terras de Bouro,Braga
Vila Verde,Braga
Amares,Braga
Vieira do Minho,Braga
Vila Nova de Famalicão,Braga
Braga,Braga
Alfândega da Fé,Bragança
Macedo de Cavaleiros,Bragança
Miranda do Douro,Bragança
Mirandela,Bragança
Mogadouro,Bragança
Vila Flor,Bragança
Vinhais,Bragança
Bragança,Bragança
Carrazeda de Ansiães,Bragança
Freixo de Espada à Cinta,Bragança
Vimioso,Bragança
Torre de Moncorvo,Bragança
Belmonte,Castelo Branco
Castelo Branco,Castelo Branco
Covilhã,Castelo Branco
Idanha-a-Nova,Castelo Branco
Penamacor,Castelo Branco
Proença-a-Nova,Castelo Branco
Vila Velha de Ródão,Castelo Branco
Fundão,Castelo Branco
Oleiros,Castelo Branco
Sertã,Castelo Branco
Vila de Rei,Castelo Branco
Coimbra,Coimbra
Condeixa-a-Nova,Coimbra
Figueira da Foz,Coimbra
Góis,Coimbra
Lousã,Coimbra
Miranda do Corvo,Coimbra
Montemor-o-Velho,Coimbra
Oliveira do Hospital,Coimbra
Penacova,Coimbra
Soure,Coimbra
Tábua,Coimbra
Vila Nova de Poiares,Coimbra
Arganil,Coimbra
Cantanhede,Coimbra
Mira,Coimbra
Pampilhosa da Serra,Coimbra
Penela,Coimbra
Borba,Évora
Estremoz,Évora
Redondo,Évora
Arraiolos,Évora
Évora,Évora
Montemor-o-Novo,Évora
Mora,Évora
Vila Viçosa,Évora
Alandroal,Évora
Mourão,Évora
Portel,Évora
Reguengos de Monsaraz,Évora
Vendas Novas,Évora
Viana do Alentejo,Évora
Silves,Faro
Alcoutim,Faro
Aljezur,Faro
Lagoa,Faro
Lagos,Faro
Loulé,Faro
Olhão,Faro
Portimão,Faro
São Brás de Alportel,Faro
Tavira,Faro
Vila do Bispo,Faro
Albufeira,Faro
Monchique,Faro
Vila Real de Santo António,Faro
Castro Marim,Faro
Faro,Faro
Aguiar da Beira,Guarda
Figueira de Castelo Rodrigo,Guarda
Fornos de Algodres,Guarda
Manteigas,Guarda
Mêda,Guarda
Seia,Guarda
Trancoso,Guarda
Almeida,Guarda
Celorico da Beira,Guarda
Gouveia,Guarda
Guarda,Guarda
Pinhel,Guarda
Sabugal,Guarda
Vila Nova de Foz Côa,Guarda
Peniche,Leiria
Ansião,Leiria
Bombarral,Leiria
Figueiró dos Vinhos,Leiria
Leiria,Leiria
Marinha Grande,Leiria
Nazaré,Leiria
Pedrógão Grande,Leiria
Alcobaça,Leiria
Alvaiázere,Leiria
Batalha,Leiria
Caldas da Rainha,Leiria
Castanheira de Pera,Leiria
Óbidos,Leiria
Pombal,Leiria
Porto de Mós,Leiria
Oeiras,Lisboa
Loures,Lisboa
Sobral de Monte Agraço,Lisboa
Alenquer,Lisboa
Amadora,Lisboa
Arruda dos Vinhos,Lisboa
Azambuja,Lisboa
Lisboa,Lisboa
Lourinhã,Lisboa
Odivelas,Lisboa
Sintra,Lisboa
Torres Vedras,Lisboa
Vila Franca de Xira,Lisboa
Cadaval,Lisboa
Mafra,Lisboa
Cascais,Lisboa
Santana,Madeira
Ribeira Brava,Madeira
São Vicente,Madeira
Santa Cruz,Madeira
Machico,Madeira
Ponta do Sol,Madeira
Porto Moniz,Madeira
Funchal,Madeira
Calheta,Madeira
Câmara de Lobos,Madeira
Porto Santo,Madeira
Portalegre,Portalegre
Avis,Portalegre
Monforte,Portalegre
Alter do Chão,Portalegre
Campo Maior,Portalegre
Crato,Portalegre
Elvas,Portalegre
Gavião,Portalegre
Nisa,Portalegre
Ponte de Sor,Portalegre
Sousel,Portalegre
Arronches,Portalegre
Castelo de Vide,Portalegre
Fronteira,Portalegre
Marvão,Portalegre
Porto,Porto
Vila do Conde,Porto
Baião,Porto
Gondomar,Porto
Lousada,Porto
Marco de Canaveses,Porto
Matosinhos,Porto
Paços de Ferreira,Porto
Paredes,Porto
Santo Tirso,Porto
Valongo,Porto
Vila Nova de Gaia,Porto
Felgueiras,Porto
Póvoa de Varzim,Porto
Amarante,Porto
Maia,Porto
Penafiel,Porto
Trofa,Porto
Alpiarça,Santarém
Benavente,Santarém
Abrantes,Santarém
Alcanena,Santarém
Almeirim,Santarém
Cartaxo,Santarém
Chamusca,Santarém
Constância,Santarém
Coruche,Santarém
Entroncamento,Santarém
Golegã,Santarém
Salvaterra de Magos,Santarém
Tomar,Santarém
Torres Novas,Santarém
Vila Nova da Barquinha,Santarém
Ferreira do Zêzere,Santarém
Mação,Santarém
Santarém,Santarém
Sardoal,Santarém
Ourém,Santarém
Rio Maior,Santarém
Alcácer do Sal,Setúbal
Grândola,Setúbal
Moita,Setúbal
Palmela,Setúbal
Santiago do Cacém,Setúbal
Seixal,Setúbal
Sesimbra,Setúbal
Setúbal,Setúbal
Alcochete,Setúbal
Almada,Setúbal
Barreiro,Setúbal
Montijo,Setúbal
Sines,Setúbal
Ponte de Lima,Viana do Castelo
Vila Nova de Cerveira,Viana do Castelo
Caminha,Viana do Castelo
Melgaço,Viana do Castelo
Paredes de Coura,Viana do Castelo
Viana do Castelo,Viana do Castelo
Arcos de Valdevez,Viana do Castelo
Monção,Viana do Castelo
Ponte da Barca,Viana do Castelo
Valença,Viana do Castelo
Chaves,Vila Real
Mesão Frio,Vila Real
Mondim de Basto,Vila Real
Montalegre,Vila Real
Murça,Vila Real
Ribeira de Pena,Vila Real
Sabrosa,Vila Real
Santa Marta de Penaguião,Vila Real
Vila Real,Vila Real
Boticas,Vila Real
Peso da Régua,Vila Real
Valpaços,Vila Real
Vila Pouca de Aguiar,Vila Real
Alijó,Vila Real
São João da Pesqueira,Viseu
Oliveira de Frades,Viseu
Carregal do Sal,Viseu
Cinfães,Viseu
Lamego,Viseu
Mangualde,Viseu
Moimenta da Beira,Viseu
Penalva do Castelo,Viseu
Resende,Viseu
Santa Comba Dão,Viseu
São Pedro do Sul,Viseu
Vila Nova de Paiva,Viseu
Armamar,Viseu
Mortágua,Viseu
Penedono,Viseu
Sátão,Viseu
Sernancelhe,Viseu
Tarouca,Viseu
Tondela,Viseu
Viseu,Viseu
Vouzela,Viseu
Nelas,Viseu
Castro Daire,Viseu
Tabuaço,Viseu
