School,Context,Municipality,Grade
Escola Artística de Música do Conservatório Nacional,Favorável,Lisboa,4.07
Escola Artística do Conservatório de Música Calouste Gulbenkian,Favorável,Braga,3.94
Escola Básica Vasco da Gama,Favorável,Lisboa,3.92
Escola Básica e Secundária da Quinta das Flores,Favorável,Coimbra,3.92
Escola Secundária Infanta D. Maria,Favorável,Coimbra,3.91
Escola Secundária Dr. Mário Sacramento,Favorável,Aveiro,3.89
Escola Secundária Eça de Queirós,Favorável,Póvoa de Varzim,3.87
Escola Artística do Conservatório de Música do Porto,Favorável,Porto,3.81
Escola Básica Grão Vasco,Favorável,Viseu,3.81
Escola Básica e Secundária D. Filipa de Lencastre,Favorável,Lisboa,3.78
Escola Secundária D. Manuel I,Favorável,Beja,3.75
Escola Secundária Quinta das Palmeiras,Favorável,Covilhã,3.7
Escola Básica Francisco Torrinha,Favorável,Porto,3.64
Escola Secundária do Bocage,Favorável,Setúbal,3.63
Escola Secundária Carlos Amarante,Favorável,Braga,3.62
Escola Secundária Alves Martins,Favorável,Viseu,3.62
Escola Básica Frei Bartolomeu dos Mártires,Favorável,Viana do Castelo,3.61
Escola Secundária Dr. Joaquim de Carvalho,Favorável,Figueira da Foz,3.6
Escola Secundária Aurélia de Sousa,Favorável,Porto,3.6
Escola Básica Martim de Freitas,Favorável,Coimbra,3.58
Escola Secundária São Pedro,Favorável,Vila Real,3.58
Escola Secundária da Quinta do Marquês,Favorável,Oeiras,3.55
Escola Básica de Telheiras,Favorável,Lisboa,3.54
Escola Secundária José Gomes Ferreira,Favorável,Lisboa,3.52
Conservatório Nacional de Dança,Favorável,Lisboa,3.52
Escola Básica e Secundária Fernão de Magalhães,Favorável,Chaves,3.5
Escola Básica Professor João de Meira,Favorável,Guimarães,3.5
Escola Secundária Emídio Navarro,Favorável,Almada,3.5
Escola Básica da Abelheira,Favorável,Viana do Castelo,3.5
Escola Básica Afonso de Paiva,Favorável,Castelo Branco,3.49
Escola Básica Eugénio de Castro,Favorável,Coimbra,3.48
Escola Básica Dr. Joaquim R. Peixoto Magalhães,Favorável,Faro,3.48
Escola Secundária Pedro Nunes,Favorável,Lisboa,3.47
Escola Secundária João Silva Correia,Favorável,São João da Madeira,3.46
Escola Básica Infante D. Henrique,Favorável,Viseu,3.46
Escola Básica e Secundária Fontes Pereira de Melo,Favorável,Porto,3.44
Escola Secundária da Mealhada,Favorável,Mealhada,3.44
Escola Secundária João Gonçalves Zarco,Favorável,Matosinhos,3.44
Escola Secundária José Estevão,Favorável,Aveiro,3.42
Escola Secundária Camilo Castelo Branco,Favorável,Vila Real,3.41
Escola Secundária Emídio Navarro,Favorável,Viseu,3.4
Escola Básica e Secundária de Montemor-o-Velho,Favorável,Montemor-o-Velho,3.4
Escola Secundária Raúl Proença,Favorável,Caldas da Rainha,3.4
Escola Básica e Secundária Henrique Sommer,Favorável,Leiria,3.4
Escola Básica de Gueifães,Favorável,Maia,3.39
Escola Básica e Secundária Clara de Resende,Favorável,Porto,3.39
Escola Secundária Almeida Garrett,Favorável,Vila Nova de Gaia,3.37
Escola Básica Professor Doutor Egas Moniz,Favorável,Estarreja,3.37
Escola Secundária de Miraflores,Favorável,Oeiras,3.36
Escola Básica Carlos Gargaté,Favorável,Almada,3.35
Escola Secundária Henrique Medina,Favorável,Esposende,3.35
Escola Secundária Garcia de Orta,Favorável,Porto,3.34
Escola Básica Egas Moniz,Favorável,Guimarães,3.34
Escola Secundária António Damásio,Favorável,Lisboa,3.33
Escola Básica Júlio Brandão,Favorável,Vila Nova de Famalicão,3.32
Escola Básica e Secundária Josefa de Óbidos,Favorável,Lisboa,3.32
Escola Secundária Afonso de Albuquerque,Favorável,Guarda,3.32
Escola Básica Dr. Ruy de Andrade,Favorável,Entroncamento,3.31
Escola Básica Alto dos Moinhos,Favorável,Sintra,3.3
Escola Secundária Dr. Joaquim Gomes Ferreira Alves,Favorável,Vila Nova de Gaia,3.3
Escola Básica da Senhora da Hora,Favorável,Matosinhos,3.29
Escola Básica Soares dos Reis,Favorável,Vila Nova de Gaia,3.29
Escola Secundária Sebastião e Silva,Favorável,Oeiras,3.29
Escola Secundária Augusto Gomes,Favorável,Matosinhos,3.29
Escola Secundária Rocha Peixoto,Favorável,Póvoa de Varzim,3.29
Escola Básica Professor Noronha Feio,Favorável,Oeiras,3.29
Escola Básica Cidade de Castelo Branco,Favorável,Castelo Branco,3.28
Escola Básica Roque Gameiro,Favorável,Amadora,3.28
Escola Secundária Manuel da Fonseca,Favorável,Santiago do Cacém,3.27
Escola Secundária Rainha D. Amélia,Favorável,Lisboa,3.27
Escola Secundária Mouzinho da Silveira,Favorável,Portalegre,3.27
Escola Básica José Saraiva,Favorável,Leiria,3.26
Escola Básica D. Pedro I,Favorável,Vila Nova de Gaia,3.26
Escola Básica e Secundária de Águas Santas,Favorável,Maia,3.26
Escola Secundária da Maia,Favorável,Maia,3.25
Escola Secundária Homem Cristo,Favorável,Aveiro,3.25
Escola Secundária Dr. José Macedo Fragateiro,Favorável,Ovar,3.25
Escola Básica Dr. Flávio Gonçalves,Favorável,Póvoa de Varzim,3.25
Escola Básica João de Barros,Favorável,Figueira da Foz,3.25
Escola Básica Dr. José Domingues dos Santos,Favorável,Matosinhos,3.25
Escola Secundária Nuno Álvares,Favorável,Castelo Branco,3.24
Escola Secundária Sá da Bandeira,Favorável,Santarém,3.24
Escola Básica Fernando Pessoa,Favorável,Santa Maria da Feira,3.23
Escola Básica e Secundária Oliveira Júnior,Favorável,São João da Madeira,3.23
Escola Secundária Adolfo Portela,Favorável,Águeda,3.23
Escola Secundária José Falcão,Favorável,Coimbra,3.23
Escola Básica de Aradas,Favorável,Aveiro,3.22
Escola Secundária D. Maria II,Favorável,Braga,3.22
Escola Secundária do Restelo,Favorável,Lisboa,3.22
Escola Secundária Filipa de Vilhena,Favorável,Porto,3.22
Escola Básica e Secundária Dr. Manuel Laranjeira,Favorável,Espinho,3.21
Escola Básica André Soares,Favorável,Braga,3.21
Escola Secundária Severim de Faria,Favorável,Évora,3.21
Escola Secundária do Castêlo da Maia,Favorável,Maia,3.2
Escola Secundária Gabriel Pereira,Favorável,Évora,3.2
Escola Básica Vasco da Gama,Favorável,Sines,3.2
Escola Básica Gonçalo Mendes da Maia,Favorável,Maia,3.2
Escola Secundária Dr. Ginestal Machado,Favorável,Santarém,3.19
Escola Secundária do Fundão,Favorável,Fundão,3.19
Escola Básica D. Pedro IV,Favorável,Sintra,3.19
Escola Básica D. Dinis,Favorável,Leiria,3.18
Escola Secundária do Entroncamento,Favorável,Entroncamento,3.18
Escola Básica Marquês de Marialva,Favorável,Cantanhede,3.17
Escola Básica e Secundária de Búzio,Favorável,Vale de Cambra,3.17
Escola Básica da Bobadela,Favorável,Loures,3.17
Escola Básica Dr.ª Maria Alice Gouveia,Favorável,Coimbra,3.17
Escola Básica Pêro de Alenquer,Favorável,Alenquer,3.16
Escola Básica e Secundária Artur Gonçalves,Favorável,Torres Novas,3.16
Escola Secundária Prof. José Augusto Lucas,Favorável,Oeiras,3.16
Escola Básica Engº Fernando Pinto de Oliveira,Favorável,Matosinhos,3.15
Escola Secundária Gil Eanes,Favorável,Lagos,3.15
Escola Básica Dr. Pedro Barbosa,Favorável,Viana do Castelo,3.15
Escola Básica Dr. José dos Santos Bessa,Favorável,Montemor-o-Velho,3.15
Escola Básica n.º 2 de Mealhada,Favorável,Mealhada,3.15
Escola Básica e Secundária da Batalha,Favorável,Batalha,3.15
Escola Secundária Marquesa de Alorna,Favorável,Almeirim,3.15
Escola Secundária Emídio Garcia,Favorável,Bragança,3.14
Escola Básica D. João II,Favorável,Santarém,3.14
Escola Básica D. Martinho Castelo Branco,Favorável,Portimão,3.14
Escola Básica Conde de Oeiras,Favorável,Oeiras,3.13
Escola Básica de Santa Clara,Favorável,Évora,3.13
